"","PerChgPriRel","rsi","macd","ema.20","sma.20","sma.50","dema.20"
"1996-10-10",0,65.7482519631913,2.43072584858726,23.8330730966674,23.9813656538518,22.5733248329474,24.6309631137035
"1996-10-11",0,69.7299608220323,2.500291874984,23.9367445387943,24.0557227587998,22.6614688670597,24.7524430018466
"1996-10-14",0,69.9512443136078,2.53234367327286,24.0328269067078,24.1252826311704,22.7438761330559,24.8577714680578
"1996-10-15",0,67.8156887097234,2.49575843660674,24.1106209870538,24.1816501139535,22.8229299310888,24.9273845200168
"1996-10-16",1,60.3723242195299,2.32036702652243,24.1467401603862,24.2116328175615,22.8933533053233,24.9183959422726
"1996-10-17",1,53.6127325836697,2.03097575461122,24.1428690690029,24.232021056015,22.9432445241271,24.8375314080294
"1996-10-18",0,62.1663008476054,2.01660192029218,24.2078985469506,24.2931857713754,23.0041693778586,24.8952387623083
"1996-10-21",0,63.6114989447688,2.02852071099857,24.2804411200766,24.3495532541585,23.0722900804561,24.9679541191808
"1996-10-22",0,54.3036186847545,1.81892882706758,24.2889649650799,24.3771373414779,23.1293771481258,24.9187125859392
"1996-10-23",0,58.9599148048404,1.77461794002716,24.3377961516978,24.403522120653,23.2056531461046,24.9517484060819
"1996-10-24",1,54.0200277198236,1.60238448493977,24.3477108021334,24.4323055161167,23.2675374463516,24.9121618112559
"1996-10-25",1,51.8373267764895,1.39454567485455,24.3406904248889,24.4490958301372,23.3275028535677,24.8450324251595
"1996-10-28",0,53.8456639397722,1.27062068332242,24.3503294302587,24.4766799174566,23.394184386392,24.8153598639333
"1996-10-29",1,49.4081539168932,1.04946656082985,24.3270688846018,24.4946695396214,23.454149793608,24.7267654499511
"1996-10-30",1,51.2619610931273,0.911281374531692,24.3197300077997,24.4994667721987,23.5150746473396,24.6747202974377
"1996-10-31",1,57.1764763838414,0.957290724660464,24.3610623974183,24.537844632817,23.5793575638752,24.7196400596028
"1996-11-01",1,53.2033130360754,0.888243942422529,24.3710456113935,24.5462397898272,23.6364446315449,24.7045054517284
"1996-11-04",1,55.9503525541032,0.902224767694371,24.402922007739,24.5546349468375,23.6968897620187,24.7334643171167
"1996-11-05",1,59.0563579146932,0.996277314451488,24.4591753143981,24.5726245690023,23.7650104646162,24.809133252717
"1996-11-06",1,65.1955515793741,1.27419808513545,24.5737484949298,24.6444330287367,23.8493817464064,24.9940385548423
"1996-11-07",1,65.7916502152931,1.49820579748949,24.6842815984769,24.7054574093489,23.9227232709396,25.1645501749403
"1996-11-08",1,66.8118833252855,1.69289197281879,24.7957404972723,24.7521062491903,23.9979901512882,25.3311129748875
"1996-11-11",1,67.0237115089575,1.8317040702085,24.8988748143474,24.798758320424,24.0766163869977,25.4765714381147
"1996-11-12",1,62.713051682914,1.84186935763304,24.9692813005286,24.8381822288695,24.147074401757,25.5556603047677
"1996-11-13",1,65.5743513223191,1.91913529926304,25.0604690250518,24.9100262339184,24.2257032225803,25.6735055891701
"1996-11-14",1,69.1822905553501,2.08474972142916,25.1819115798515,25.0215023413978,24.3182659913449,25.8464403064917
"1996-11-15",1,78.4724147264415,2.67338252421092,25.4406740244337,25.1751642744233,24.432980046163,26.2760327031587
"1996-11-18",1,79.8793149178658,3.19615640272524,25.7068601476494,25.3384659120946,24.5462730270044,26.7034959208338
"1996-11-19",1,84.4820091228017,3.98401093434213,26.0828377499045,25.6027000860304,24.6860270478774,27.3247260419688
